,name,link,site,zp
13,"Разработка нового функционала ERP, далее системы. Разработка интерфейсной части и логики программных модулей. - Поддержка системы, корректировка алгоритмов, исправление ошибок в...Опыт разработки клиент-серверных приложений. Опыт поддержки информационных систем на разных уровнях. Опыт программирования на Delphi. Опыт работы с БД...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48215216?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,120 000 – 150 000 руб.
14,"Наши веб-приложения в основном относятся к B2B-сегменту, например: сервис управления мини-отелями «Stays Net», сервис планирования...Навык работы как минимум на одном из языков программирования: С++, C#, Java, PHP, Python, JavaScript. Опыт профессиональной работы не требуется...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47952607?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,45 000 – 70 000 руб.
15,"проектирование и разработка модулей информационной системы с веб-интерфейсом. - интеграция с внешними системами. - переработка существующего кода с учетом парадигмы ООП. - знание PHP+MySQL на прикладном уровне, подтверждение примерами кода. - знание html+css+js на прикладном уровне.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48262797?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 100 000 руб.
16,"Мы сами поддерживаем наши продукты, поэтому внимательно относимся к выбору инструментов, поддержке и тестированию. Разрабатывать сервисы на Erlang/Elixir в...Мы рассматриваем кандидатов без production опыта в этих технологиях, но с желанием их освоить и хорошей квалификацией в программировании. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48218431?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 100 000 руб.
17,написание парсер-шаблонов под сайты.Хорошее знание: - JavaScript. - HTML DOM. - английский язык.,https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48059893?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 300 000 руб.
18,Европейское подразделение крупной российской ИТ компании. Главный офис располагается в Любляне (Словения). Предоставление ИТ услуг для Enterprise заказчиков на территории...Знание PHP 7+. Понимание ООП. Отличное знание sql и написание сложных запросов. У нас PostgreSQL. Обязательное знание русского языка. ,https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48256158?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,250 000 – 300 000 руб.
19,"Работа с sqlite во flutter. - Создание data классов в dart, сериализация и десериализация объектов в json, коммукабельность.Навыки flutter/dart. - Желателен опыт разработки нативных приложений android или ios (будет плюсом очень большим). - Понимание bloc / redux. - ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47899845?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,190 000 – 230 000 руб.
20,"Опыт разработки на PHP от 3 лет. – Уверенное знание PHP7 (если вы не пользуетесь новыми возможностями языка, то вы...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48370745?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,80 000 – 130 000 руб.
21,"...разработчик, дизайнер, фронтенд, бекенд). Разработка на Bitrix Framework для Битрикс24 и Битрикс: управление сайтом. Возможность освоения профессии веб-разработчика. Интерес к разработке проектов. Знания основ программирования. Вы написали больше 5000 строк кода в своей жизни. Базовое знание php. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/42776431?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,20 000 – 100 000 руб.
22,"Написание и поддержка desktop приложений. - Написание и поддержка сервисных служб. - Интеграция между приложениями.Базовые навыки C#. Понимание ООП. Язык SQL. Желательно (но необязательно, будет бонусом), знакомство с: WPF. WinForms. Entity Framework. ADO.NET.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48276297?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 50 000 руб.
23,"Программирование, настройка, доработка, поддержка, консультирование, сопровождение по 1 С (10 ) (Торговля-склад 8.3, Бухгалтерия, ЗУП, Сервисная программа). -Знание программирования 1С.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48236321?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 100 000 руб.
